		1996	1996	1996	1996	1996	1996	1998	1998	1998	1998	1998	1998	2000	2000	2000	2000	2000	2000	2002	2002	2002	2002	2002	2002	2003	2003	2003	2003	2003	2003	2004	2004	2004	2004	2004	2004	2005	2005	2005	2005	2005	2005	2006	2006	2006	2006	2006	2006	2007	2007	2007	2007	2007	2007	2008	2008	2008	2008	2008	2008	2009	2009	2009	2009	2009	2009	2010	2010	2010	2010	2010	2010	2011	2011	2011	2011	2011	2011	2012	2012	2012	2012	2012	2012	2013	2013	2013	2013	2013	2013	2014	2014	2014	2014	2014	2014	2015	2015	2015	2015	2015	2015	2016	2016	2016	2016	2016	2016	2017	2017	2017	2017	2017	2017	2018	2018	2018	2018	2018	2018	2019	2019	2019	2019	2019	2019
Country/Territory	Code	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper
Ghana	GHA	-0.34	0.26	4.00	46.24	25.81	59.68	-0.26	0.21	6.00	46.91	31.96	58.76	-0.10	0.22	6.00	54.82	36.55	63.96	-0.33	0.19	7.00	44.44	32.32	57.58	-0.25	0.18	9.00	48.99	35.35	58.59	-0.25	0.16	11.00	50.24	35.61	56.10	-0.37	0.16	11.00	43.90	30.73	54.15	-0.02	0.16	13.00	56.59	46.34	62.44	0.04	0.16	13.00	58.25	50.97	65.05	-0.07	0.15	14.00	55.34	45.63	61.65	-0.01	0.15	15.00	59.33	50.24	65.07	0.01	0.15	15.00	57.62	50.00	63.81	-0.03	0.14	16.00	57.35	50.71	63.51	-0.13	0.13	16.00	54.98	45.50	60.66	-0.10	0.13	16.00	55.45	45.97	61.61	-0.19	0.13	15.00	52.40	42.79	57.69	-0.19	0.13	15.00	52.88	42.31	58.17	-0.15	0.14	15.00	52.40	42.79	59.13	-0.23	0.13	15.00	49.04	41.83	56.25	-0.12	0.13	15.00	52.88	43.75	59.62	-0.08	0.14	15.00	52.40	44.23	60.58
Guinea	GIN	-0.94	0.32	3.00	18.28	2.15	41.40	-0.98	0.27	5.00	17.01	1.03	35.05	-0.95	0.27	5.00	17.77	3.05	35.03	-0.72	0.26	5.00	29.80	9.09	46.97	-0.82	0.23	6.00	22.73	8.08	40.40	-0.92	0.20	7.00	18.05	8.78	32.20	-1.05	0.20	7.00	14.63	3.41	25.85	-1.12	0.19	8.00	11.22	3.90	21.95	-1.28	0.19	8.00	6.80	0.97	17.96	-1.20	0.18	9.00	7.28	1.94	18.45	-1.08	0.19	9.00	13.40	3.35	24.40	-1.20	0.18	9.00	8.10	1.43	19.05	-1.10	0.17	10.00	13.27	3.32	21.33	-1.04	0.15	12.00	15.17	4.74	22.75	-1.04	0.15	13.00	13.74	6.16	21.80	-1.06	0.15	13.00	13.46	7.69	22.60	-0.99	0.14	14.00	14.42	10.10	24.04	-0.92	0.15	13.00	15.87	11.06	28.37	-1.01	0.13	14.00	14.42	10.10	21.15	-1.04	0.14	14.00	13.94	9.62	22.12	-0.90	0.15	14.00	18.27	12.02	27.88
Gambia. The	GMB	-0.37	0.32	3.00	43.55	19.35	60.75	-0.45	0.27	5.00	40.21	20.62	54.64	-0.39	0.27	5.00	42.13	25.38	58.88	-0.44	0.26	5.00	40.91	23.23	57.58	-0.29	0.22	6.00	46.97	30.81	60.10	-0.61	0.20	7.00	29.76	16.10	48.78	-0.71	0.20	7.00	28.29	15.61	43.41	-0.72	0.18	8.00	26.83	16.10	39.02	-0.73	0.19	8.00	27.18	15.05	38.83	-0.74	0.18	8.00	25.73	14.56	39.32	-0.57	0.19	8.00	33.97	20.10	49.28	-0.59	0.18	8.00	32.38	19.05	47.62	-0.51	0.18	8.00	37.44	22.27	52.61	-0.64	0.17	8.00	30.33	18.48	44.08	-0.70	0.17	9.00	27.49	16.11	41.71	-0.69	0.17	9.00	27.88	15.38	41.83	-0.77	0.16	9.00	23.08	13.46	36.54	-0.81	0.17	9.00	21.63	12.02	32.69	-0.63	0.15	10.00	29.81	18.27	42.31	-0.46	0.14	12.00	38.94	26.92	46.15	-0.29	0.15	12.00	45.19	32.69	54.81
Guinea-Bissau	GNB	-1.19	0.32	3.00	8.06	0.00	30.65	-1.21	0.27	5.00	8.25	0.52	28.35	-1.10	0.27	5.00	12.18	1.02	30.46	-1.01	0.26	5.00	14.14	0.00	32.83	-1.15	0.26	5.00	9.60	0.00	27.27	-1.22	0.22	6.00	9.76	0.98	21.46	-1.15	0.22	6.00	12.68	0.98	22.44	-1.09	0.22	6.00	13.17	1.95	26.83	-1.19	0.23	6.00	7.77	0.97	20.87	-1.18	0.23	6.00	8.74	0.97	21.84	-1.20	0.24	6.00	8.13	0.48	22.97	-1.16	0.23	6.00	11.90	1.43	21.90	-1.16	0.22	6.00	11.85	1.42	22.75	-1.28	0.20	6.00	6.16	0.00	17.06	-1.33	0.20	7.00	4.74	0.00	16.11	-1.54	0.19	7.00	2.88	0.00	9.13	-1.48	0.19	7.00	2.40	0.00	10.58	-1.55	0.19	7.00	2.88	0.00	10.10	-1.56	0.17	7.00	2.88	0.00	8.65	-1.53	0.17	8.00	3.37	0.00	9.62	-1.45	0.18	8.00	5.29	0.00	12.02
Equatorial Guinea	GNQ	-1.26	0.28	3.00	6.45	0.00	25.27	-1.31	0.22	5.00	3.61	0.52	18.56	-1.55	0.22	5.00	1.02	0.00	7.11	-1.43	0.20	5.00	1.01	0.00	10.61	-1.52	0.22	5.00	1.01	0.00	9.60	-1.66	0.20	6.00	0.49	0.00	6.34	-1.61	0.20	6.00	0.49	0.00	7.32	-1.59	0.21	6.00	0.98	0.00	7.32	-1.50	0.22	5.00	2.43	0.00	9.22	-1.47	0.22	5.00	2.91	0.00	12.14	-1.47	0.22	5.00	1.91	0.00	12.44	-1.47	0.21	6.00	1.90	0.00	12.86	-1.46	0.21	6.00	1.90	0.00	12.80	-1.52	0.22	6.00	0.47	0.00	10.90	-1.59	0.22	7.00	0.00	0.00	9.00	-1.77	0.23	6.00	0.00	0.00	4.33	-1.77	0.22	6.00	0.00	0.00	3.37	-1.81	0.22	6.00	0.00	0.00	4.81	-1.83	0.21	6.00	0.00	0.00	4.81	-1.56	0.21	6.00	2.40	0.00	10.58	-1.72	0.20	7.00	0.48	0.00	6.73
Greece	GRC	0.34	0.21	6.00	64.52	56.99	74.73	0.79	0.19	6.00	78.35	69.07	83.51	0.66	0.20	6.00	75.13	65.48	83.76	0.42	0.18	6.00	71.21	61.11	77.27	0.39	0.19	6.00	70.20	60.10	75.76	0.46	0.17	7.00	71.71	60.00	75.61	0.36	0.17	7.00	65.37	58.05	71.71	0.36	0.16	9.00	68.29	59.51	73.17	0.27	0.17	9.00	64.56	57.28	72.33	0.13	0.16	9.00	61.17	53.88	67.96	0.07	0.17	9.00	59.81	52.63	67.94	-0.06	0.17	10.00	56.67	44.29	63.33	-0.10	0.17	10.00	55.45	43.13	63.03	-0.19	0.15	11.00	52.61	40.76	59.72	-0.05	0.15	11.00	57.82	46.92	63.03	-0.12	0.14	10.00	53.37	44.23	59.13	-0.08	0.14	10.00	55.29	46.63	61.54	-0.09	0.15	10.00	55.29	43.75	61.54	-0.14	0.13	10.00	52.88	44.23	58.65	-0.07	0.14	10.00	55.77	44.23	61.06	-0.01	0.16	9.00	56.25	45.67	62.02
Grenada	GRD	0.87	0.48	1.00	80.11	59.14	91.40	0.70	0.38	2.00	76.80	58.76	85.57	0.53	0.34	2.00	72.08	57.36	84.26	0.70	0.34	2.00	77.27	61.11	85.86	0.70	0.32	2.00	76.26	62.12	84.85	0.61	0.29	3.00	73.17	58.54	83.90	0.66	0.28	3.00	73.17	60.49	82.93	0.63	0.31	3.00	73.66	60.00	84.39	0.38	0.31	3.00	69.90	54.37	77.67	0.32	0.29	3.00	65.53	53.40	74.27	0.36	0.31	3.00	68.90	54.07	77.03	0.43	0.31	3.00	70.00	56.19	79.52	0.42	0.30	3.00	69.19	55.92	78.67	0.42	0.30	3.00	69.19	56.40	77.73	0.42	0.31	3.00	67.77	55.45	79.15	0.25	0.34	2.00	62.98	47.12	76.44	0.56	0.23	4.00	68.75	62.02	78.85	0.56	0.23	4.00	69.71	62.02	80.77	0.48	0.23	4.00	67.31	59.13	80.29	0.38	0.21	4.00	66.83	58.65	76.92	0.34	0.21	4.00	64.90	57.21	74.52
Greenland	GRL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1.19	0.38	1.00	84.69	72.25	93.78	1.22	0.37	1.00	85.24	72.38	93.33	1.23	0.39	1.00	85.31	72.04	94.31	1.22	0.42	1.00	84.83	70.62	94.79	1.24	0.40	1.00	84.36	70.62	95.26	1.21	0.40	1.00	84.13	69.71	95.19	1.19	0.37	1.00	84.13	69.23	92.79	1.17	0.38	2.00	83.65	69.23	92.79	1.18	0.35	2.00	84.13	71.15	92.31	1.18	0.35	2.00	84.13	72.12	92.31	1.04	0.37	1.00	82.21	66.83	91.83
Guatemala	GTM	-0.86	0.24	5.00	23.66	6.45	38.71	-0.86	0.22	5.00	23.20	7.73	35.57	-0.75	0.21	6.00	27.92	12.18	39.09	-0.65	0.19	7.00	32.32	18.18	43.94	-0.77	0.18	9.00	25.25	10.61	39.39	-0.61	0.16	12.00	30.73	20.49	44.88	-0.67	0.17	12.00	30.73	17.56	42.93	-0.81	0.15	15.00	22.44	14.63	35.12	-0.74	0.16	15.00	26.21	16.99	36.89	-0.65	0.16	14.00	30.58	17.96	41.26	-0.53	0.16	13.00	35.89	23.44	49.76	-0.53	0.16	14.00	35.71	21.90	48.10	-0.53	0.15	15.00	36.49	23.22	49.29	-0.66	0.14	15.00	29.38	18.96	41.23	-0.62	0.14	14.00	32.23	21.33	43.13	-0.74	0.14	13.00	27.40	15.38	36.06	-0.73	0.14	13.00	25.00	14.90	36.54	-0.74	0.14	14.00	24.04	13.46	34.13	-0.74	0.13	14.00	24.04	15.38	35.58	-0.82	0.12	14.00	22.12	14.42	28.85	-0.90	0.13	14.00	18.75	12.50	26.92
French Guiana	GUF	0.87	0.48	1.00	80.11	59.14	91.40	0.92	0.46	1.00	81.96	61.34	92.27	0.90	0.47	1.00	82.23	61.42	92.39	0.88	0.44	1.00	80.81	61.11	91.41	0.89	0.40	1.00	80.30	62.12	91.41	0.81	0.40	1.00	77.56	60.00	91.71	0.80	0.34	1.00	77.56	61.95	89.27	0.78	0.42	1.00	76.59	59.51	91.71	0.79	0.42	1.00	76.70	59.71	91.75	0.81	0.40	1.00	77.18	61.65	91.75	1.12	0.29	2.00	84.21	72.73	91.39	1.13	0.29	2.00	84.29	72.38	92.38	1.11	0.30	2.00	83.41	72.04	91.94	1.10	0.31	2.00	82.94	72.04	91.47	1.13	0.31	2.00	82.94	71.56	91.47	1.02	0.30	2.00	81.73	69.23	90.87	1.02	0.29	2.00	81.73	68.27	90.38	0.98	0.31	2.00	81.25	67.31	90.38	1.00	0.28	2.00	81.73	69.23	89.42	0.95	0.28	2.00	81.25	67.79	88.94	0.92	0.29	2.00	80.77	66.83	88.94
Guam	GUM	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.38	0.40	1.00	66.83	49.76	83.41	0.80	0.34	1.00	77.56	61.95	89.27	0.78	0.42	1.00	76.59	59.51	91.71	0.79	0.42	1.00	76.70	59.71	91.75	0.81	0.40	1.00	77.18	61.65	91.75	0.84	0.43	1.00	77.03	61.24	90.91	0.82	0.43	1.00	77.14	60.95	90.95	0.80	0.42	1.00	75.83	61.14	89.57	0.79	0.43	1.00	76.30	60.66	90.52	0.79	0.44	1.00	76.78	59.72	89.57	1.23	0.42	1.00	87.02	69.23	95.19	1.22	0.42	1.00	87.02	68.27	95.19	1.23	0.42	1.00	87.50	68.75	94.71	1.24	0.40	1.00	86.54	70.67	95.19	1.24	0.40	1.00	86.54	71.15	94.71	1.23	0.41	1.00	87.50	70.19	95.19
Guyana	GUY	-0.14	0.32	3.00	52.69	31.18	65.05	-0.33	0.29	4.00	44.85	25.26	61.34	-0.40	0.28	4.00	41.12	23.86	58.88	-0.43	0.28	4.00	41.41	22.22	59.60	-0.40	0.26	4.00	42.42	21.72	58.59	-0.45	0.24	5.00	38.54	21.95	54.63	-0.56	0.21	7.00	36.10	18.05	51.22	-0.58	0.19	9.00	34.15	19.51	46.83	-0.59	0.19	10.00	33.01	18.93	48.54	-0.56	0.19	9.00	34.95	19.42	49.51	-0.54	0.19	9.00	34.93	20.10	51.20	-0.56	0.19	9.00	34.29	20.48	49.05	-0.61	0.18	9.00	32.23	18.96	48.34	-0.75	0.17	10.00	26.07	15.17	37.91	-0.65	0.18	10.00	29.86	18.01	44.08	-0.74	0.17	9.00	26.92	13.94	38.46	-0.64	0.15	9.00	31.25	18.75	43.75	-0.32	0.16	7.00	44.23	32.21	55.77	-0.51	0.15	7.00	37.50	23.56	46.63	-0.23	0.15	7.00	46.63	37.98	57.69	-0.09	0.16	8.00	51.92	41.35	60.58
Hong Kong SAR. China	HKG	1.44	0.20	6.00	89.78	81.18	93.01	1.35	0.19	6.00	86.60	82.47	92.27	1.34	0.18	6.00	86.29	83.76	91.88	1.71	0.17	6.00	91.92	89.39	93.94	1.85	0.17	6.00	92.93	91.41	96.97	1.87	0.16	7.00	94.15	91.71	97.07	1.78	0.15	7.00	93.17	91.22	97.56	1.87	0.15	9.00	93.66	91.71	96.59	1.92	0.16	9.00	93.69	91.75	97.09	1.90	0.16	9.00	94.17	91.75	97.09	1.89	0.15	9.00	94.26	91.87	97.13	1.96	0.15	9.00	94.76	92.86	98.57	1.85	0.16	10.00	94.31	91.94	96.68	1.74	0.15	10.00	93.36	90.52	95.26	1.64	0.14	10.00	91.94	89.57	94.79	1.62	0.14	9.00	92.31	89.90	94.71	1.65	0.14	8.00	92.79	89.90	93.75	1.56	0.15	9.00	91.83	89.42	92.79	1.61	0.13	10.00	92.31	88.94	92.79	1.68	0.14	10.00	92.31	89.42	94.71	1.67	0.16	9.00	92.31	88.94	95.19
Honduras	HND	-1.08	0.24	5.00	14.52	2.15	30.65	-0.94	0.22	5.00	19.07	4.12	33.51	-0.95	0.21	6.00	17.26	5.08	31.47	-0.97	0.19	7.00	17.68	4.04	31.82	-0.92	0.18	8.00	17.17	7.07	32.32	-0.89	0.17	11.00	20.00	10.24	29.27	-0.81	0.17	11.00	22.44	13.17	36.59	-0.83	0.17	12.00	20.98	10.73	36.10	-0.79	0.18	12.00	22.33	12.62	36.89	-0.90	0.17	12.00	18.45	7.77	32.52	-0.90	0.16	13.00	19.62	10.05	28.23	-0.89	0.16	13.00	19.52	11.43	30.95	-0.83	0.16	13.00	21.33	14.22	34.12	-0.95	0.15	13.00	17.54	10.43	27.96	-0.95	0.16	13.00	18.01	9.95	27.49	-0.79	0.14	13.00	23.56	14.42	34.13	-0.57	0.14	13.00	32.69	22.60	46.15	-0.66	0.14	14.00	29.81	16.83	38.46	-0.72	0.13	14.00	25.48	16.35	37.02	-0.62	0.12	14.00	29.33	22.12	39.90	-0.81	0.14	13.00	23.08	14.90	30.29
Croatia	HRV	-0.58	0.28	3.00	32.80	15.05	52.69	-0.56	0.19	6.00	34.54	22.16	47.94	-0.07	0.19	7.00	56.35	42.64	63.45	0.22	0.16	8.00	63.64	56.06	71.72	0.29	0.16	9.00	64.14	58.59	73.74	0.26	0.15	11.00	62.93	56.10	71.71	0.17	0.14	11.00	58.54	55.12	66.83	0.08	0.14	13.00	59.51	53.17	64.88	0.09	0.14	13.00	58.74	53.88	66.99	-0.01	0.13	12.00	58.25	50.49	62.62	-0.05	0.14	12.00	57.89	49.28	62.68	0.06	0.14	12.00	60.48	53.81	63.81	0.06	0.13	13.00	59.24	54.03	64.93	0.01	0.12	14.00	59.72	52.61	63.03	0.12	0.12	14.00	62.09	55.92	66.35	0.22	0.12	14.00	62.02	57.69	67.79	0.25	0.12	14.00	63.94	58.17	67.31	0.20	0.13	13.00	62.50	57.69	66.35	0.19	0.12	13.00	61.06	56.73	65.87	0.13	0.13	13.00	60.10	53.85	65.38	0.13	0.14	12.00	60.10	51.44	64.90
Haiti	HTI	-1.17	0.32	3.00	9.14	0.00	31.18	-1.20	0.29	4.00	8.76	0.52	29.90	-1.24	0.28	4.00	6.09	0.00	26.40	-1.69	0.24	5.00	0.00	0.00	4.04	-1.72	0.21	7.00	0.00	0.00	3.54	-1.47	0.22	7.00	2.93	0.00	11.22	-1.37	0.21	7.00	4.39	0.00	15.61	-1.31	0.19	10.00	6.83	0.49	17.07	-1.28	0.19	10.00	6.31	0.49	18.45	-1.21	0.19	10.00	6.80	1.94	18.45	-1.09	0.17	11.00	12.92	3.35	22.97	-1.19	0.17	11.00	10.00	1.90	19.05	-1.22	0.16	12.00	7.11	1.42	17.54	-1.24	0.15	12.00	9.00	0.47	17.06	-1.13	0.16	12.00	11.85	3.32	21.33	-1.23	0.15	11.00	9.13	2.88	14.90	-1.24	0.15	11.00	10.10	1.92	13.94	-1.33	0.16	10.00	7.69	1.92	12.50	-1.24	0.14	11.00	10.10	4.81	14.42	-1.28	0.14	10.00	9.62	3.37	13.46	-1.34	0.16	10.00	8.17	2.40	12.98
Hungary	HUN	0.67	0.21	6.00	74.19	63.44	81.18	0.77	0.16	8.00	77.84	69.07	82.47	0.79	0.17	9.00	77.66	71.57	84.26	0.58	0.15	9.00	74.24	67.17	79.29	0.68	0.15	10.00	75.76	71.72	80.81	0.69	0.14	10.00	75.61	70.73	81.46	0.65	0.14	10.00	72.20	67.32	79.02	0.66	0.13	12.00	74.15	69.76	77.56	0.62	0.13	12.00	73.30	69.90	76.70	0.47	0.13	14.00	70.87	63.59	73.79	0.43	0.13	14.00	70.33	64.11	72.73	0.37	0.13	13.00	68.57	62.38	72.38	0.40	0.13	13.00	68.72	63.03	72.04	0.36	0.12	14.00	67.30	62.09	72.04	0.32	0.13	13.00	65.88	61.14	70.14	0.16	0.13	13.00	60.58	55.29	66.35	0.15	0.13	13.00	61.54	55.77	66.35	0.10	0.13	12.00	60.58	53.85	65.38	0.09	0.12	12.00	59.13	53.37	64.42	0.05	0.13	12.00	59.62	50.48	62.50	0.00	0.14	11.00	57.69	47.12	61.06
Indonesia	IDN	-0.86	0.19	7.00	22.04	8.60	34.41	-1.18	0.17	8.00	10.31	0.52	20.62	-0.92	0.16	9.00	19.29	7.11	30.96	-1.14	0.15	9.00	9.60	1.52	22.22	-0.97	0.15	11.00	15.15	7.58	27.27	-0.93	0.14	13.00	17.07	10.73	26.34	-0.88	0.13	13.00	19.51	13.17	30.73	-0.84	0.13	16.00	20.49	14.63	31.22	-0.62	0.14	16.00	31.55	19.90	40.29	-0.59	0.13	15.00	33.98	21.36	41.75	-0.84	0.13	15.00	21.05	15.31	29.19	-0.75	0.13	15.00	24.76	16.67	35.24	-0.70	0.14	16.00	25.12	18.48	39.34	-0.64	0.13	16.00	31.28	21.33	40.76	-0.61	0.13	15.00	32.70	21.80	41.71	-0.56	0.12	14.00	33.65	24.04	44.23	-0.46	0.12	14.00	39.42	28.37	49.52	-0.40	0.13	14.00	41.83	32.21	50.48	-0.25	0.12	14.00	48.08	41.83	54.81	-0.25	0.12	14.00	46.15	38.94	56.25	-0.42	0.13	13.00	37.98	28.37	48.08
India	IND	-0.38	0.19	7.00	43.01	29.57	53.76	-0.25	0.17	8.00	48.45	35.05	55.67	-0.35	0.16	8.00	44.16	31.47	54.82	-0.52	0.16	8.00	35.86	26.77	47.47	-0.42	0.15	9.00	41.41	30.30	53.54	-0.41	0.14	11.00	40.98	29.27	51.22	-0.36	0.14	11.00	44.39	34.63	52.68	-0.28	0.13	14.00	46.83	37.56	56.10	-0.40	0.14	14.00	40.29	31.07	52.91	-0.34	0.14	14.00	44.17	34.47	53.88	-0.45	0.13	14.00	38.76	27.75	50.72	-0.47	0.13	14.00	38.57	28.10	50.00	-0.54	0.14	15.00	35.55	23.22	48.34	-0.51	0.13	15.00	36.97	27.49	47.39	-0.52	0.13	14.00	36.97	26.07	45.97	-0.43	0.12	14.00	41.83	29.81	51.44	-0.35	0.12	14.00	44.71	32.69	53.37	-0.28	0.13	14.00	47.60	35.58	55.29	-0.24	0.12	14.00	48.56	41.83	54.81	-0.19	0.12	14.00	49.52	40.87	57.69	-0.23	0.13	13.00	47.60	35.10	55.77
Ireland	IRL	1.71	0.21	6.00	91.94	88.71	96.24	1.59	0.19	6.00	91.75	85.05	93.30	1.43	0.20	6.00	90.36	84.26	92.39	1.41	0.18	6.00	89.39	83.33	91.41	1.46	0.19	6.00	90.91	83.33	92.42	1.29	0.17	7.00	87.32	82.93	91.71	1.59	0.17	7.00	92.20	88.29	93.17	1.71	0.16	9.00	92.20	90.73	95.61	1.75	0.17	9.00	93.20	91.75	96.12	1.75	0.16	9.00	92.72	91.75	95.63	1.76	0.17	9.00	93.78	90.91	95.22	1.69	0.17	9.00	92.86	88.57	94.76	1.56	0.17	10.00	91.47	88.15	93.84	1.46	0.16	10.00	90.52	83.89	92.89	1.54	0.17	9.00	90.05	86.73	93.84	1.60	0.16	8.00	91.83	88.94	95.19	1.62	0.16	8.00	92.31	89.42	93.27	1.58	0.17	8.00	92.31	89.42	93.75	1.55	0.15	8.00	91.35	88.46	92.31	1.55	0.16	8.00	90.87	87.50	92.79	1.46	0.18	8.00	89.42	83.65	92.79
Iran. Islamic Rep.	IRN	-0.48	0.26	4.00	37.63	18.82	54.30	-0.45	0.23	4.00	39.69	24.74	54.12	-0.40	0.26	4.00	39.59	25.38	57.87	-0.19	0.20	5.00	50.00	34.34	61.11	-0.27	0.20	6.00	47.47	33.33	59.60	-0.39	0.19	8.00	42.44	27.32	54.15	-0.48	0.18	8.00	39.51	22.93	52.20	-0.48	0.17	10.00	38.05	23.90	50.24	-0.55	0.17	10.00	34.95	19.90	49.03	-0.78	0.17	10.00	24.27	14.56	36.89	-0.84	0.18	9.00	20.57	10.53	34.45	-0.95	0.17	9.00	17.62	7.14	29.52	-0.87	0.16	10.00	20.38	12.32	32.23	-0.79	0.15	10.00	23.22	15.17	35.07	-0.69	0.15	10.00	27.96	18.48	39.81	-0.62	0.14	9.00	31.25	20.19	42.79	-0.60	0.15	9.00	31.73	20.19	44.23	-0.71	0.15	9.00	26.44	13.94	36.54	-0.81	0.14	9.00	20.67	13.94	30.77	-0.96	0.14	10.00	15.87	10.58	25.00	-1.05	0.15	10.00	14.90	9.62	23.08
Iraq	IRQ	-1.60	0.26	4.00	0.54	0.00	9.14	-1.43	0.23	4.00	1.03	0.00	13.92	-1.50	0.26	4.00	2.03	0.00	12.18	-1.41	0.22	4.00	1.52	0.00	11.62	-1.21	0.22	5.00	8.08	0.00	20.20	-1.48	0.21	5.00	1.95	0.00	10.73	-1.37	0.20	5.00	3.90	0.00	14.63	-1.45	0.22	5.00	2.44	0.00	12.20	-1.46	0.22	5.00	2.91	0.00	12.14	-1.46	0.21	8.00	3.40	0.00	11.17	-1.33	0.20	9.00	4.31	0.48	17.70	-1.26	0.18	10.00	6.19	0.95	17.14	-1.17	0.18	9.00	11.37	1.42	20.38	-1.22	0.16	10.00	9.48	0.95	17.54	-1.28	0.16	10.00	7.58	0.47	15.64	-1.33	0.16	10.00	5.77	0.48	12.98	-1.37	0.16	10.00	4.81	0.48	12.02	-1.39	0.16	9.00	6.25	1.44	12.02	-1.37	0.15	9.00	6.73	0.96	12.02	-1.40	0.15	9.00	7.21	0.48	10.58	-1.34	0.16	9.00	8.65	2.40	12.98
Iceland	ISL	1.73	0.24	5.00	93.01	87.63	97.85	1.97	0.23	5.00	94.33	90.72	100.00	2.27	0.24	5.00	98.48	93.40	100.00	2.25	0.23	5.00	97.47	92.42	100.00	2.29	0.21	5.00	98.48	93.43	100.00	2.19	0.19	6.00	98.05	93.66	100.00	2.31	0.19	6.00	99.51	96.10	100.00	2.18	0.18	7.00	97.56	94.15	100.00	2.21	0.19	7.00	97.57	93.20	100.00	2.34	0.19	7.00	99.51	95.63	100.00	2.04	0.21	7.00	95.69	92.34	99.04	1.94	0.19	8.00	94.29	92.38	98.57	1.94	0.18	8.00	94.79	92.42	99.05	1.89	0.16	9.00	94.79	91.47	97.63	1.91	0.17	9.00	95.73	91.47	97.63	1.83	0.16	8.00	93.75	90.87	97.12	1.94	0.16	8.00	95.67	92.79	97.60	1.95	0.17	8.00	95.19	92.79	98.56	1.84	0.15	8.00	93.27	91.83	97.12	1.84	0.16	8.00	94.23	90.87	97.60	1.71	0.18	7.00	92.79	88.94	96.15
Israel	ISR	1.35	0.21	6.00	88.17	81.18	91.40	1.19	0.19	6.00	84.54	79.38	90.72	1.05	0.20	6.00	84.26	76.14	89.85	1.23	0.18	6.00	85.35	81.31	90.91	1.12	0.19	6.00	83.33	77.27	89.90	0.93	0.17	7.00	81.95	74.15	85.37	0.83	0.17	7.00	79.02	69.76	82.93	1.01	0.16	10.00	80.49	74.15	88.29	0.85	0.17	10.00	77.18	72.33	84.47	0.90	0.16	10.00	78.64	73.79	83.50	0.81	0.17	9.00	74.64	71.29	82.30	0.76	0.17	9.00	74.29	70.48	81.90	0.80	0.17	9.00	76.30	70.62	81.99	0.91	0.16	9.00	77.73	72.51	83.89	0.91	0.17	9.00	78.67	72.51	82.94	0.87	0.16	9.00	78.85	70.67	82.21	0.94	0.16	9.00	79.33	75.00	84.13	1.19	0.17	8.00	84.62	79.81	90.38	0.83	0.15	8.00	79.81	70.67	82.21	0.79	0.16	8.00	79.33	69.23	82.21	0.81	0.18	8.00	78.85	68.75	83.17
